Hexham Station,232210,151.6844171,-32.82947029,10101170,02 4962 9944,"Pacific Hwy, Hexham",2003|2004,3008|3010|3011|3020,1001
High Street Station,232010,151.5636893,-32.741449,10101177,02 4933 7902,"High St, Maitland",2003|2004|2005,3008|3010|3011,1001|1002
Hilldale Station,242040,151.6497678,-32.50450378,10101183,02 6543 1018,"Paterson Rd, Hilldale",2003|2004,3010|3011|3020,1001
Holsworthy Station,217310,150.9568946,-33.96320957,10101420,02 9765 1166,"Macarthur Dr, Holsworthy",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Homebush Station,214010,151.0864413,-33.86673988,10101216,02 9752 8882,"The Crescent, Homebush",2004|2005|2006|2007|2008|2009,3003|3008|3010|3011,1001|1002|1005
Hornsby Station,207720,151.098494,-33.70280124,10101127,02 9847 8428,"Station St, Hornsby",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2012,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
Hurlstone Park Station,219310,151.1320925,-33.91042225,10101394,02 9563 7544,"Floss St, Hurlstone Park",2003|2004|2005|2006|2015|2007|2008|2009,3003|3008|3010|3011,1001|1002
Hurstville Station,222010,151.1027571,-33.96745356,10101339,02 9563 7568,"Ormonde Pde, Hurstville",2002|2004|2005|2006|2015|2007|2008|2011,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Ingleburn Station,256510,150.8649205,-33.9970797,10101293,02 4629 0845,"Stanley Rd, Ingleburn",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2011,3001|3003|3005|3006|3008|3009|3011,1001|1002|1005
International Airport Station,202030,151.1658913,-33.93498823,10101332,02 8337 8460,"Qantas Dr, International Airport, Mascot",2004|2005|2006|2015|2007|2008|2009|2010|2011|2013,3001|3002|3003|3005|3006|3008|3009|3011,1001|1002|1005
Jannali Station,222620,151.0646645,-34.01612866,10101344,02 9522 1283,"Cnr Jannali Ave & Mitchell Ave, Jannali",2001|2002|2003|2004|2005|2006|2015|2007|2008|2009|2010,3003|3008|3009|3010|3011,1001|1002|1005
Katoomba Station,278020,150.3111602,-33.71157344,10101268,02 4782 1902,"Goldsmith Pl, Katoomba",2001|2002|2003|2004|2005|2006|2014|2007|2008|2009|2010|2011|2013,3001|3003|3005|3008|3009|3011,1001|1002|1005
